house_desc,house_price,district,s_cate,house_href
1室1厅 |38平米 |南 |精装 |低楼层(共6层) |1992年 |板楼,188,中原路60弄二手房,中原,https://sh.lianjia.com/ershoufang/107115570448.html
2室1厅 |77.66平米 |南 北 |精装 |低楼层(共14层) |2009年 |板楼,180,新凯二期（北区）二手房,泗泾,https://sh.lianjia.com/ershoufang/107115535580.html
2室2厅 |72.59平米 |南 |其他 |高楼层(共18层) |2014年 |板楼,200,瑞和明庭西区二手房,徐泾,https://sh.lianjia.com/ershoufang/107115919460.html
2室2厅 |89.71平米 |西 |简装 |低楼层(共12层) |2010年 |板楼,175,赞成红树林二手房,金山新城,https://sh.lianjia.com/ershoufang/107115523760.html
3室1厅 |90.93平米 |南 北 |简装 |中楼层(共11层) |2014年 |板楼,115,绿地金山名邸二手房,金山新城,https://sh.lianjia.com/ershoufang/107114873828.html
2室2厅 |91.95平米 |南 |精装 |中楼层(共8层) |2014年 |板楼,208,海上纳缇二手房,金山新城,https://sh.lianjia.com/ershoufang/107115579277.html
2室0厅 |59.98平米 |南 |精装 |中楼层(共6层) |1978年 |板楼,335,蒋家桥路25弄二手房,曲阳,https://sh.lianjia.com/ershoufang/107115874504.html
3室2厅 |96.61平米 |南 |精装 |低楼层(共11层) |2006年 |板楼,269,安阁苑二手房,周浦,https://sh.lianjia.com/ershoufang/107115699271.html
1室1厅 |38.98平米 |南 |简装 |高楼层(共6层) |1983年 |板楼,240,潍坊七村二手房,潍坊,https://sh.lianjia.com/ershoufang/107115427710.html
1室1厅 |36.3平米 |南 |简装 |中楼层(共6层) |1991年 |板楼,188,谈家桥路163弄二手房,大宁,https://sh.lianjia.com/ershoufang/107115753503.html
1室1厅 |45.49平米 |南 |毛坯 |中楼层(共6层) |1991年 |板楼,139,宝林五村二手房,淞宝,https://sh.lianjia.com/ershoufang/107115899648.html
3室1厅 |74.84平米 |南 北 |简装 |低楼层(共6层) |1996年 |板楼,338,星苑小区二手房,凉城,https://sh.lianjia.com/ershoufang/107115944920.html
2室1厅 |58平米 |南 |简装 |中楼层(共6层) |1987年 |板楼,328,玉田新村二手房,曲阳,https://sh.lianjia.com/ershoufang/107115899307.html
1室0厅 |28.97平米 |南 |简装 |低楼层(共6层) |1984年 |板楼,185,柳营路1025弄二手房,大宁,https://sh.lianjia.com/ershoufang/107114976382.html
2室2厅 |96.38平米 |南 北 |简装 |中楼层(共8层) |2007年 |板楼,500,贝越水岸名邸二手房,川沙,https://sh.lianjia.com/ershoufang/107115333319.html
3室2厅 |87.78平米 |南 北 |简装 |低楼层(共6层) |1997年 |板楼,268,妙栏路392弄二手房,川沙,https://sh.lianjia.com/ershoufang/107113959390.html
2室2厅 |75.78平米 |南 |简装 |高楼层(共6层) |2013年 |板楼,114,江秋新苑二手房,佘山,https://sh.lianjia.com/ershoufang/107114094421.html
4室3厅 |296.18平米 |南 |精装 |12层 |2003年 |板楼,2988,古北中央花园二手房,古北,https://sh.lianjia.com/ershoufang/107114821549.html
3室2厅 |133.77平米 |南 |简装 |中楼层(共8层) |2007年 |板楼,958,古北新城二手房,金虹桥,https://sh.lianjia.com/ershoufang/107115342226.html
3室1厅 |71.44平米 |南 |精装 |中楼层(共6层) |1990年 |板楼,459,威宁小区二手房,仙霞,https://sh.lianjia.com/ershoufang/107115754855.html
2室1厅 |66.6平米 |南 |精装 |高楼层(共7层) |1995年 |板楼,188,江桥三村九街坊二手房,江桥,https://sh.lianjia.com/ershoufang/107115380064.html
2室1厅 |51.31平米 |南 北 |简装 |中楼层(共6层) |1995年 |板楼,220,永和二村二手房,永和,https://sh.lianjia.com/ershoufang/107115101191.html
2室2厅 |95.59平米 |东 西 |简装 |中楼层(共7层) |1999年 |板楼,253,白鹤小区二手房,南翔,https://sh.lianjia.com/ershoufang/107115943194.html
3室2厅 |131.21平米 |南 |精装 |低楼层(共18层) |2015年 |板楼,739,中海寰宇天下二手房,春申,https://sh.lianjia.com/ershoufang/107115738215.html
1室1厅 |39.42平米 |南 |精装 |低楼层(共7层) |1991年 |板楼,228,沈南小区(长宁路1600弄)二手房,中山公园,https://sh.lianjia.com/ershoufang/107115835373.html
2室1厅 |61.29平米 |南 |精装 |高楼层(共6层) |2004年 |板楼,339,华欣家园二手房,华泾,https://sh.lianjia.com/ershoufang/107113551964.html
2室2厅 |88.2平米 |南 |简装 |高楼层(共18层) |2009年 |板塔结合,355,印象春城二手房,周浦,https://sh.lianjia.com/ershoufang/107115276881.html
1室1厅 |34.66平米 |南 |精装 |低楼层(共6层) |1992年 |板楼,220,清宁小区二手房,中山公园,https://sh.lianjia.com/ershoufang/107115953957.html
3室2厅 |114.44平米 |南 |毛坯 |低楼层(共18层) |2010年 |板楼,330,宏立瑞园二手房,南翔,https://sh.lianjia.com/ershoufang/107115958207.html
1室1厅 |30.84平米 |南 |简装 |中楼层(共6层) |1984年 |板楼,178,柳营路1025弄二手房,大宁,https://sh.lianjia.com/ershoufang/107115827571.html
